cal_file,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
Report_RSAS_672.pdf,1981-01-09,Wild Heerbrugg,RC8,715,Wild,Universal Aviogon,UAg55,152.164,219.992,220.003,299.841,299.816,-110.015,0.013,109.978,0.014,-0.002,110.013,-0.013,-109.989,-106.017,-105.995,106.005,106.022,-106.005,106.01,105.993,-105.995
Report_RSAS_676.pdf,1981-01-28,Fairchild,T-12,101,Goerz,Planigon,608,151.831,238.355,235.403,327.142,326.545,-120.596,0.491,117.757,-0.483,0.469,117.595,-0.494,-117.806,-115.611,-115.487,115.859,115.692,-115.43,115.582,115.306,-115.487
Report_RSAS_677.pdf,1981-01-28,Fairchild,T-12,53-003,Bausch and Lomb,Planigon,RF77,151.529,237.838,235.065,,,-120.374,0.016,117.463,0.016,0.01,117.559,0.008,-117.506,,,,,,,,
Report_RSAS_678.pdf,1981-01-30,Wild Heerbrugg,RC8,914,Wild,Universal Aviogon,UAg366,152.347,220.008,220.002,299.813,299.824,-110.017,0.016,109.991,0.001,-0.004,110.007,-0.025,-109.995,-106.015,-105.993,105.99,106.002,-106.014,106.015,105.993,-105.993
Report_RSAS_679.pdf,1981-02-03,Wild Heerbrugg,RC8,899,Wild,Universal Aviogon,UAg371,152.166,,,299.824,299.812,,,,,,,,,-106.011,-105.983,106.019,106.003,-106.004,106.02,105.991,-105.983
Report_RSAS_687.pdf,1981-03-10,Wild Heerbrugg,RC8,237,Wild,Universal Aviogon,UAg477,152.399,219.995,219.982,299.819,299.801,-110.004,0.023,109.991,0.011,0.008,110.014,-0.024,-109.968,-106.011,-105.975,106.002,106.02,-105.998,106.022,105.987,-105.975
Report_RSAS_689.pdf,1981-03-17,Fairchild,T-12,54-020,Goerz,Planigon,404,151.676,219.636,220.081,299.982,299.774,-109.643,-0.126,109.993,0.085,-0.107,109.984,0.116,-110.186,-105.921,-105.985,106.161,106.172,-105.997,105.967,105.996,-105.985
Report_RSAS_690.pdf,1981-03-23,Fairchild,KC-4B,69-1002,Fairchild,Geocon I,409,151.589,238.054,235.624,327.721,327.503,-120.487,0.072,117.567,-0.076,0.076,117.801,-0.082,-117.822,-115.773,-115.879,115.863,115.953,-115.709,115.793,115.78,-115.879
Report_RSAS_691.pdf,1981-03-23,Fairchild,KC-4A,65-1001,Perkin-Elmer,Geocon I,799648F,152.066,,,304.088,304.127,,,,,,,,,-107.528,-107.514,107.497,107.507,-107.543,107.533,107.511,-107.514
Report_RSAS_694.pdf,1981-04-01,Wild Heerbrugg,RC8,604,Wild,Universal Aviogon,UAg260,152.075,219.999,220.005,299.837,299.804,-110.001,0.028,109.998,-0.009,0.029,110.02,-0.033,-109.985,-106.018,-105.992,106.026,105.999,-105.987,106.029,105.98,-105.992
Report_RSAS_698.pdf,1981-04-09,Wild Heerbrugg,RC8,609,Wild,Universal Aviogon,UAg51,152.328,,,299.804,299.824,,,,,,,,,-106.01,-105.994,105.987,105.996,-106.011,106.022,105.988,-105.994
