ID,cal_file,marker_style,date,camera_make,camera_model,camera_serial,lens_make,lens_model,lens_serial,focal,lr_dist,tb_dist,llur_dist,ullr_dist,mlx,mly,mrx,mry,mtx,mty,mbx,mby,llx,lly,urx,ury,ulx,uly,lrx,lry
AR1SWGQ00010138,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWGR00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWGS00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWGU00010050,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWGV00010243,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWGW00010001,Report_232_05_206205.pdf,zeiss_float,1972-03-29,Zeiss,RMK A 8.5/23,113501,Zeiss,S-Pleogon A,111568,85.5,226.024,226.025,294.129,294.14,,,,,,,,,,,,,,,,
AR1SWGX00020001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWGY00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWGZ00010001,Report_WRC9SAg4.pdf,wild_corner,,Wild Heerbrugg,RC9,,Wild,Super Aviogon,,88.409,,,299.814,299.816,,,,,,,,,-106.003,-106.006,105.999,105.998,-105.997,105.997,106.004,-106.006
AR1SWHA00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
AR1SWHB00010001,Report_2_2_162804-2.pdf,wild_corner,1960-10-27,Wild Heerbrugg,RC9,465,Wild,Super Aviogon,SAG30,88.38,,,299.808,299.818,,,,,,,,,,,,,,,,
